DATE,OPP,RESULT,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Full_Team_Name,Home,Away
Thu 3/13,"vs
BOIS","L
62-52",31,1-6,16.7,1-4,25.0,2-2,100.0,5,3,3,2,2,2,5,Boise State Broncos,1,0
Sat 3/8,"vs
NEV","W
80-61",34,3-6,50.0,2-5,40.0,0-1,0.0,6,5,1,3,1,0,8,Nevada Wolf Pack,1,0
Tue 3/4,"@
UNLV","L
74-67",36,5-14,35.7,2-10,20.0,3-4,75.0,10,6,3,4,1,3,15,UNLV Rebels,0,1
Sat 3/1,"@
WYO","W
72-69",31,7-14,50.0,1-5,20.0,3-4,75.0,2,3,0,2,3,0,18,Wyoming Cowboys,0,1
Tue 2/25,"vs
UNM","W
73-65",31,3-9,33.3,2-6,33.3,5-5,100.0,9,3,1,3,3,3,13,New Mexico Lobos,1,0
Sat 2/22,"@
USU","L
79-71",34,2-12,16.7,1-9,11.1,3-4,75.0,3,2,0,0,3,1,8,Utah State Aggies,0,1
Tue 2/18,"vs
FRES","W
83-60",24,3-5,60.0,0-2,0.0,2-2,100.0,2,4,1,5,0,2,8,Fresno State Bulldogs,1,0
Sat 2/15,"vs
BOIS","W
64-47",33,4-10,40.0,1-4,25.0,1-2,50.0,4,1,2,2,2,2,10,Boise State Broncos,1,0
Tue 2/11,"@
SJSU","W
69-66",30,3-9,33.3,1-6,16.7,2-2,100.0,5,2,0,2,3,1,9,San José State Spartans,0,1
Sat 2/8,"@
CSU","L
68-63",27,2-11,18.2,1-8,12.5,2-4,50.0,3,2,1,1,4,2,7,Colorado State Rams,0,1
Sat 2/1,"vs
WYO","W
63-61",32,3-7,42.9,0-1,0.0,5-5,100.0,8,4,0,0,2,3,11,Wyoming Cowboys,1,0
Tue 1/28,"vs
SJSU","W
71-68",33,5-10,50.0,3-6,50.0,0-0,0.0,2,3,0,1,2,3,13,San José State Spartans,1,0
Sat 1/25,"@
NEV","W
69-50",34,3-13,23.1,2-7,28.6,3-4,75.0,4,9,1,3,0,3,11,Nevada Wolf Pack,0,1
Wed 1/22,"@
AFA","W
77-76 OT",25,2-9,22.2,0-6,0.0,4-4,100.0,2,1,3,4,5,0,8,Air Force Falcons,0,1
Sat 1/18,"vs
UNLV","L
76-68",34,7-20,35.0,4-12,33.3,3-3,100.0,3,1,1,0,3,1,21,UNLV Rebels,1,0
Tue 1/14,"vs
CSU","W
75-60",33,8-15,53.3,5-9,55.6,4-4,100.0,6,1,1,7,2,1,25,Colorado State Rams,1,0
Sat 1/11,"@
UNM","L
62-48",33,5-13,38.5,3-7,42.9,1-3,33.3,4,2,0,3,1,1,14,New Mexico Lobos,0,1
Wed 1/8,"vs
AFA","W
67-38",21,3-10,30.0,0-5,0.0,1-1,100.0,4,2,2,3,2,0,7,Air Force Falcons,1,0
Sat 1/4,"@
BOIS","W
76-68",34,8-15,53.3,3-6,50.0,3-7,42.9,4,2,0,1,3,1,22,Boise State Broncos,0,1
Sat 12/28,"vs
USU","L
67-66",23,3-7,42.9,2-5,40.0,6-6,100.0,2,3,0,2,5,3,14,Utah State Aggies,1,0
Sat 12/21,"vs
CAL","W
71-50",26,3-10,30.0,2-6,33.3,4-4,100.0,5,3,2,1,0,0,12,California Golden Bears,1,0
Wed 12/11,"vs
CBU","W
81-75",31,5-9,55.6,4-6,66.7,5-6,83.3,1,2,0,1,1,2,19,California Baptist Lancers,1,0
Sat 12/7,"vs
USD","W
74-57",29,4-10,40.0,2-3,66.7,3-3,100.0,3,3,1,0,3,1,13,San Diego Toreros,1,0
Wed 12/4,"@
FRES","W
84-62",27,4-11,36.4,1-3,33.3,0-0,0.0,11,2,0,1,4,3,9,Fresno State Bulldogs,0,1
Sat 11/30,"vs
6HOU","W
73-70 OT",37,4-12,33.3,3-10,30.0,7-8,87.5,6,3,0,0,2,0,18,Houston Cougars,1,0
Wed 11/27,"vs
ORE","L
78-68",32,4-11,36.4,1-5,20.0,1-1,100.0,2,1,2,3,1,2,10,Oregon Ducks,1,0
Tue 11/26,"vs
21CREI","W
71-53",29,6-10,60.0,2-4,50.0,2-2,100.0,2,2,2,2,2,0,16,Creighton Bluejays,1,0
Mon 11/18,"vs
3GONZ","L
80-67",22,0-5,0.0,0-4,0.0,0-0,0.0,5,3,0,1,1,3,0,Gonzaga Bulldogs,1,0
Wed 11/6,"vs
UCSD","W
63-58",31,7-12,58.3,4-8,50.0,2-2,100.0,8,3,4,5,3,1,20,UC San Diego Tritons,1,0
